Activity,Hours,Part of day,Holiday,Tag,Important Level
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
Friday make-up of Monday’s missed classes (MLK),24.0,0,0,Miscellaneous,0
UM52B Midterm (Zaurova),144.0,0,0,Academic,1
OC11A Midterm (Shapiro),120.0,0,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
Course Drop Deadline,24.0,0,0,Miscellaneous,0
Presidents Day,24.0,0,0,Miscellaneous,0
OLA11 Midterm (Balsley),48.0,0,0,Academic,1
OP053 Midterm (McKale),96.0,0,0,Academic,1
Friday make-up of Monday’s missed classes (Presidents Day),24.0,0,0,Miscellaneous,0
Speaker Series - Congressman Andrews,1.5,1,0,Miscellaneous,0
OM4BC Midterm (Alper),216.0,0,0,Academic,1
OM012 Midterm (Nuckols/Zaurova),168.0,0,0,Academic,1
Gateway Site Tutorial 1,1.0,0,0,Miscellaneous,0
OM015 Midterm (Shapiro),120.0,0,0,Academic,1
OC005 Midterm (Halley),96.0,0,0,Academic,1
OB010 Midterm (Failor),96.0,0,0,Academic,1
OLA12 Midterm (Haas),96.0,0,0,Academic,1
OC010 Midterm (Freed),96.0,0,0,Academic,1
OLA03 Midterm (Haas),96.0,0,0,Academic,1
OM060 Midterm (Hoshi),96.0,0,0,Academic,1
OLA13 Midterm (Haas),96.0,0,0,Academic,1
OCH11 Midterm (Bickart),96.0,0,0,Academic,1
OM013 Midterm (Nuckols),168.0,0,0,Academic,1
OM011 Midterm (Nuckols),168.0,0,0,Academic,1
UM53A Midterm (Paquin),144.0,0,0,Academic,1
OM4AB Midterm (Paquin),144.0,0,0,Academic,1
Gateway Site Tutorial 2,1.0,2,0,Miscellaneous,0
OH011 Midterm (Smith),96.0,0,0,Academic,1
OCH13 Midterm (Bickart),96.0,0,0,Academic,1
UEC20 Midterm (D'Urso),168.0,0,0,Academic,1
UP055 Midterm (Oas),120.0,0,0,Academic,1
UP070 Midterm (Oas),120.0,0,0,Academic,1
OP010 Midterm (Bowen/Oas),120.0,0,0,Academic,1
OMSB9 Midterm (Hoshi/Weil),96.0,0,0,Academic,1
Spring Break,120.0,0,0,Miscellaneous,0
Submission Deadline for Commitment to Register and Course Enrollment Forms,24.0,0,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
OLA11 Midterm (Balsley),48.0,0,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
Memorial Day,24.0,0,0,Miscellaneous,0
English Final Exam,24.0,0,0,Academic,1
Computer Science Final Exam,24.0,0,0,Academic,1
Mathematics Final Exam,24.0,0,0,Academic,1
Music Final Exam,24.0,0,0,Academic,1
Economics Final Exam,24.0,0,0,Academic,1
Foreign Language Final Exam,24.0,0,0,Academic,1
Core Final Exam,24.0,0,0,Academic,1
Science Final Exam,24.0,0,0,Academic,1
History Final Exam,24.0,0,0,Academic,1
Flex Day,24.0,0,0,Miscellaneous,0
Flex Day,24.0,0,0,Miscellaneous,0
Graduation Weekend,72.0,0,0,Miscellaneous,0
Summer Session,360.0,0,0,Miscellaneous,0
Reading Week,72.0,0,0,Miscellaneous,0
Labor Day Holiday,24.0,0,0,Academic,1
Live Online Orientation,3.0,0,0,Miscellaneous,0
Live Online Orientation,3.0,1,0,Miscellaneous,0
Class Meetings begin,24.0,0,0,Academic,1
Tech Open Office Hours,1.0,0,0,Miscellaneous,0
Tech Open Office Hours,0.5,1,0,Miscellaneous,0
All-School Assembly,1.0,1,0,Academic,1
Tech Open Office Hours,1.0,0,0,Miscellaneous,0
Tech Open Office Hours,1.0,1,0,Miscellaneous,0
Add Deadline,24.0,0,0,Miscellaneous,0
Submission Deadline for Club Proposal Form,24.0,0,0,Entertainment,0
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
Deadline for Family Directory Submisions,24.0,0,0,Miscellaneous,0
Assembly: Club Fair,1.0,0,0,Entertainment,0
Submission Deadline for Student Government Candidate Entry Form,24.0,0,0,Miscellaneous,0
Back-to-School Night,3.0,1,0,Entertainment,0
Assembly: Student Government Candidate Speeches,1.0,0,0,Miscellaneous,0
OHS Parent Association Meeting,1.5,0,0,Academic,1
OHS Parent Association Meeting,1.5,0,0,Academic,1
Drop Deadline (without incurring a W on the transcript),24.0,0,0,Miscellaneous,0
PSAT Exam Date,24.0,0,0,Academic,1
PSAT Exam Date,24.0,0,0,Academic,1
Halloween Assembly,1.0,0,0,Miscellaneous,0
United States Presidential Election Assembly,1.0,0,0,Miscellaneous,0
OHS Parent Association Meeting,1.5,0,0,Academic,1
Thanksgiving Holiday,72.0,0,0,Miscellaneous,0
Last Day of Classes,24.0,0,0,Academic,1
Holiday Assembly,1.0,0,0,Miscellaneous,0
"Finals: English, Computer Science",24.0,0,0,Academic,1
"Finals: Mathematics, Music",24.0,0,0,Academic,1
"Finals: Core, Foreign Language, Economics",24.0,0,0,Academic,1
"Finals: Science, History",24.0,0,0,Academic,1
OHS Parent Association Meeting,1.5,2,0,Academic,1
Finals: Flex Day,48.0,0,0,Academic,1
Winter Break,288.0,0,0,Miscellaneous,0
Reading Week,120.0,0,0,Miscellaneous,0
First Day of Classes,24.0,0,0,Academic,1
Fall Semester Grades Available on PowerSchool,24.0,0,0,Academic,1
Spring Semester Add/Drop Deadline,24.0,0,0,Miscellaneous,0
Career Speaker Series: Alex Laslavic,1.0,0,0,Personal,0
Leadership Speaker Series Discussion,1.5,1,0,Academic,1
Baltimore Meet-up,3.0,1,0,Academic,1
Martin Luther King Holiday,24.0,0,0,Miscellaneous,0
Monday Homerooms on Wednesday,24.0,0,0,Miscellaneous,0
Monday on Friday (Martin Luther King Holiday),24.0,0,0,Miscellaneous,0
College Experience Assembly,1.0,0,0,Miscellaneous,0
Chess Club Guest: Ronen Har-Zvi,2.0,1,0,Entertainment,0
Model UN Constitutional Convention,1.0,1,0,Miscellaneous,0
Leadership Speaker Series,1.5,1,0,Miscellaneous,0
NorCal Meet-up,2.0,1,0,Academic,1
College Night for Grades 7-10 Families,1.0,2,0,Entertainment,0
OHS Parent Association Meeting,1.5,0,0,Academic,1
Valentine's Day Poetry Reading,1.0,1,0,Miscellaneous,0
Summer Session Application Priority Deadline,24.0,0,0,Miscellaneous,0
Financial Aid deadline for returning students,24.0,0,0,Miscellaneous,0
Astronomy Club Guest: Dr. Mike Brown,1.0,0,0,Entertainment,0
Research Colloquium,1.0,1,0,Miscellaneous,0
Leadership Speaker Series Follow-Up Discussion,1.5,1,0,Academic,1
Texas/Oklahoma Meet-up,2.0,1,0,Academic,1
Presidents Day Holiday,24.0,0,0,Miscellaneous,0
Monday Homerooms on Wednesday,24.0,0,0,Miscellaneous,0
Scheduling Information Sessions for Course Enrollment 2013-14 for students entering 7th and 8th grades,2.0,1,0,Academic,1
Scheduling Information Sessions for Course Enrollment 2013-14 for students entering 9th and 10th grades,2.0,1,0,Academic,1
Scheduling Information Sessions for Course Enrollment 2013-14 for students 11th and 12th grades,2.0,1,0,Academic,1
Monday on Friday (Presidents Day),24.0,0,0,Miscellaneous,0
